expression,reading,meaning,tags,parts_of_speech,group
情熱,じょうねつ,"passion, enthusiasm, zeal",N1,noun,Feelings & Emotions
奨励,しょうれい,"encouragement, promotion",N1,noun,Feelings & Emotions
励ます,はげます,"to encourage, to cheer, to raise (the voice)",N1,verb,Feelings & Emotions
促進,そくしん,"promotion, acceleration, encouragement",N1,noun,Feelings & Emotions
恥,はじ,"shame, embarrassment",N1,noun,Feelings & Emotions
嫉妬,しっと,jealousy,N1,noun,Feelings & Emotions
弾む,はずむ,"to bounce, to be encouraged, to splurge on",N1,verb,Feelings & Emotions
不況,ふきょう,"recession, depression, slump",N1,noun,Feelings & Emotions
憤慨,ふんがい,"indignation, resentment",N1,noun,Feelings & Emotions
呆然,ぼうぜん,"dumbfounded, overcome with surprise",N1,noun,Feelings & Emotions
誇る,ほこる,"to boast of, to be proud of",N1,verb,Feelings & Emotions
ムード,ムード,mood,N1,noun,Feelings & Emotions
無念,むねん,"chagrin, regret",N1,noun,Feelings & Emotions
猛烈,もうれつ,"violent, vehement, rage",N1,noun,Feelings & Emotions
待ち望む,まちのぞむ,"to look anxiously for, to wait eagerly for",N1,verb,Feelings & Emotions
物好き,ものずき,(idle) curiosity,N1,noun,Feelings & Emotions
憂鬱,ゆううつ,"depression, melancholy",N1,noun,Feelings & Emotions
恋愛,れんあい,"love, romance",N1,noun,Feelings & Emotions
腹立ち,はらだち,anger,N1,noun,Feelings & Emotions
悲観,ひかん,"pessimism, disappointment",N1,noun,Feelings & Emotions
悲惨,ひさん,"tragedy, disaster; misery, wretched, pitiful",N1,noun,Feelings & Emotions
情深い,なさけぶかい,"tender-hearted, compassionate",N1,i-adjective,Feelings & Emotions
悩ましい,なやましい,"seductive, melancholy, languid",N1,i-adjective,Feelings & Emotions
きまりわるい,きまりわるい,"feeling awkward, being ashamed",N1,i-adjective,Feelings & Emotions
浅ましい,あさましい,"shameful, mean, despicable",N1,i-adjective,Feelings & Emotions
救い,すくい,"help, aid, relief",N1,i-adjective,Feelings & Emotions
～掛け,～かけ,"rack, hanger",N1,prefix/suffix,Feelings & Emotions
ございます (かん),ございます (かん),"to be (polite, to exist)",N1,verb,Personality & Character
固有,こゆう,"characteristic, tradition, peculiar",N1,noun,Personality & Character
独自,どくじ,"original, peculiar, characteristic",N1,noun,Personality & Character
特有,とくゆう,"characteristic (of, peculiar (to))",N1,noun,Personality & Character
英字,えいじ,English letter (character),N1,noun,Personality & Character
臆病,おくびょう,"cowardice, timidity",N1,noun,Personality & Character
愚か,おろか,"foolish, stupid",N1,noun,Personality & Character
おろそか,おろそか,"neglect, negligence, carelessness",N1,noun,Personality & Character
気質,きしつ,"character, trait, temperament",N1,noun,Personality & Character
軽率,けいそつ,"thoughtless, careless, hasty",N1,noun,Personality & Character
同意,どうい,"agreement, consent; same meaning",N1,noun,Personality & Character
諸君,しょくん,"Gentlemen!, Ladies!",N1,noun,Personality & Character
人格,じんかく,"personality, character",N1,noun,Personality & Character
拝借,はいしゃく,(humble) (polite) borrowing,N1,verb,Personality & Character
紳士,しんし,gentleman,N1,noun,Personality & Character
怠慢,たいまん,"negligence, carelessness",N1,noun,Personality & Character
趣旨,しゅし,"object, meaning",N1,noun,Personality & Character
敏感,びんかん,"sensibility, susceptibility, sensitive (to)",N1,noun,Personality & Character
不審,ふしん,"suspicious, doubt, infidelity",N1,noun,Personality & Character
もしくは,もしくは,"or, otherwise",N1,noun,Personality & Character
人柄,ひとがら,"personality, character",N1,noun,Personality & Character
卑しい,いやしい,"greedy, vulgar, shabby",N1,i-adjective,Personality & Character
荒っぽい,あらっぽい,"rough, rude",N1,i-adjective,Personality & Character
ぞんざい,ぞんざい,"rude, careless, slovenly",N1,i-adjective,Personality & Character
欲深い,よくふかい,greedy,N1,i-adjective,Personality & Character
細やか,こまやか,"meager, modest",N1,na-adjective,Personality & Character
雑,ざつ,"rough, crude",N1,na-adjective,Personality & Character
治まる,おさまる,"to be at peace, to calm down",N1,verb,Personality & Character
残酷,ざんこく,"cruelty, harshness",N1,na-adjective,Personality & Character
のどか,のどか,"tranquil, calm, quiet",N1,na-adjective,Personality & Character
落ち着き,おちつき,"calm, composure",N1,na-adjective,Personality & Character
各種,かくしゅ,"every kind, all sorts",N1,na-adjective,Personality & Character
頑固,がんこ,"stubbornness, obstinacy",N1,na-adjective,Personality & Character
気立て,きだて,"good-natured, kind-hearted",N1,na-adjective,Personality & Character
敬具,けいぐ,Sincerely (used at the end of letter),N1,na-adjective,Personality & Character
いい加減,いいかげん,"random, irresponsible",N1,na-adjective,Personality & Character
誠実,せいじつ,"sincere, honest, faithful",N1,na-adjective,Personality & Character
切実,せつじつ,"compelling, serious, severe, acute",N1,na-adjective,Personality & Character
質素,しっそ,"simplicity, modesty, frugality",N1,na-adjective,Personality & Character
無礼,ぶれい,"impolite, rude",N1,na-adjective,Personality & Character
法学,ほうがく,"law, jurisprudence",N1,na-adjective,Personality & Character
謹む,つつしむ,"to be careful, to be chaste or discreet",N1,verb,Personality & Character
誠に,まことに,"indeed, really (very polite), absolutely",N1,na-adjective,Personality & Character
ずばり,ずばり,"decisively, unreservedly, frankly",N1,adverb,Personality & Character
なにとぞ,なにとぞ,"please, kindly, by all means",N1,expression,Personality & Character
煌々と,こうこうと,brightly,N1,noun,Colors & Descriptions
光沢,こうたく,"luster, glossy finish (of photographs)",N1,noun,Colors & Descriptions
凝る,こる,"to stiffen, to harden",N1,verb,Colors & Descriptions
小柄,こがら,"small, diminutive",N1,noun,Colors & Descriptions
告白,こくはく,"confession, acknowledgment",N1,noun,Colors & Descriptions
差し出す,さしだす,"to present, to submit, to hold out",N1,verb,Colors & Descriptions
焦げ茶,こげちゃ,dark brown,N1,noun,Colors & Descriptions
事柄,ことがら,"matter, thing, affair, circumstance",N1,noun,Colors & Descriptions
富む,とむ,"to be rich, to become rich",N1,verb,Colors & Descriptions
削減,さくげん,"cut, reduction",N1,noun,Colors & Descriptions
色彩,しきさい,color,N1,noun,Colors & Descriptions
鈍る,にぶる,"to become less capable, to grow dull, to become blunt, to weaken",N1,verb,Colors & Descriptions
結晶,けっしょう,"crystal, crystallization",N1,noun,Colors & Descriptions
欠乏,けつぼう,shortage,N1,noun,Colors & Descriptions
飲み込む,のみこむ,"to gulp down, to swallow deeply, to understand",N1,verb,Colors & Descriptions
兼業,けんぎょう,holding two jobs at the same time,N1,noun,Colors & Descriptions
同等,どうとう,"equality, equal, same rank",N1,noun,Colors & Descriptions
老いる,おいる,"to age, to grow old",N1,verb,Colors & Descriptions
なんだかんだ,なんだかんだ,something or other,N1,noun,Colors & Descriptions
ニュー,ニュー,new,N1,noun,Colors & Descriptions
